,TPP Active 5th August 2019-6:15 PM,Current Course,College Name,Matric Percentage (Xth),Matric Year of Passing,Matric BOARD,XII Percentage %,Best of XII or Diploma,XIIth Stream,XII : Year of Passing,XII Board,Diploma %,Diploma : Branch,Diploma : Passing Year,Diploma : College Name & City,Diploma : Board,CGPA Till 6th Sem -20-July-2019,Backlogs,Graduation : Year of Passing,Graduation : Course,Graduation : Stream,Graduation : College,Graduation : University Name,PG CGPA till 2nd Sem - 31 May 2019,Backlogs.1,State,Catagory,Gender,Details Of Additional Course/certification,"Experience (if Any), Company Name","Experience (if Any), Designation","Experience (if Any), Salary (per Year [lpa])","Experience (if Any), Duration Of Work (years Or Months)",Training Done At (write Company/institute Name),Training Location (city),Duration,Project Title (during 6 Week/1-2 Months),Project Software/language Name,BEST of E,BEST of Q,BEST of L,BEST of Write-X,BEST of CP,BEST of Domain,BEST of Automata,AGE,Company Name,Package From (in LPA),Package To (in LPA),Status
19,Yes,B.E - CSE,University Institute of Engineering (UIE),89.3,2014,CBSE,90.2,90.2,Non - Medical,2016,CBSE,,,,,,8,0,2020,B.E,B.E - CSE,Chandigarh University,Chandigarh University,,,Himachal Pradesh,General,Male,Na,,,,,Niit Shimla ,Shimla,Six Weeks,Hangman Using Java,Java,735,770,565,540,575,654,48,22,Persistent System Ltd,4.41,8.41,On Campus
20,Yes,B.E - CSE,University Institute of Engineering (UIE),89.3,2014,CBSE,90.2,90.2,Non - Medical,2016,CBSE,,,,,,8,0,2020,B.E,B.E - CSE,Chandigarh University,Chandigarh University,,,Himachal Pradesh,General,Male,Na,,,,,Niit Shimla ,Shimla,Six Weeks,Hangman Using Java,Java,735,770,565,540,575,654,48,22,Wipro,3.5,3.5,On Campus
21,Yes,B.E - CSE,University Institute of Engineering (UIE),85.5,2013,CBSE,85,85,Non - Medical,2015,CBSE,,,,,,7.59,0,2020,B.E,B.E - CSE,Chandigarh University,Chandigarh University,,,Rajasthan,General,Male,,,,,,Ws Cube Tech,Jodhpur,2 Month,Price Comparison Website,Django Framework ,650,505,570,540,565,500,48,22,Cognizant,3,3,On Campus
22,Yes,B.E - CSE,University Institute of Engineering (UIE),85.5,2013,CBSE,85,85,Non - Medical,2015,CBSE,,,,,,7.59,0,2020,B.E,B.E - CSE,Chandigarh University,Chandigarh University,,,Rajasthan,General,Male,,,,,,Ws Cube Tech,Jodhpur,2 Month,Price Comparison Website,Django Framework ,650,505,570,540,565,500,48,22,IBM,4.25,4.65,On Campus
23,Yes,B.E - CSE,University Institute of Engineering (UIE),95,2014,CBSE,93.4,93.4,Non - Medical,2016,CBSE,,,,,,8.51,0,2020,B.E,B.E - CSE,Chandigarh University,Chandigarh University,,,Himachal Pradesh,General,Female,Android Development,,,,,A2it Pvt. Ltd. Mohali,Mohali,Six Weeks,Gym,Android,675,635,630,720,545,500,45,21,Capgemini,3.8,3.8,On Campus
24,Yes,B.E - CSE,University Institute of Engineering (UIE),95,2014,CBSE,93.4,93.4,Non - Medical,2016,CBSE,,,,,,8.51,0,2020,B.E,B.E - CSE,Chandigarh University,Chandigarh University,,,Himachal Pradesh,General,Female,Android Development,,,,,A2it Pvt. Ltd. Mohali,Mohali,Six Weeks,Gym,Android,675,635,630,720,545,500,45,21,Cognizant,3,3,On Campus
25,Yes,B.E - CSE,University Institute of Engineering (UIE),95,2014,CBSE,93.4,93.4,Non - Medical,2016,CBSE,,,,,,8.51,0,2020,B.E,B.E - CSE,Chandigarh University,Chandigarh University,,,Himachal Pradesh,General,Female,Android Development,,,,,A2it Pvt. Ltd. Mohali,Mohali,Six Weeks,Gym,Android,675,635,630,720,545,500,45,21,Mindtree,3.5,3.5,On Campus
26,Yes,B.E - CSE,University Institute of Engineering (UIE),95,2014,CBSE,93.4,93.4,Non - Medical,2016,CBSE,,,,,,8.51,0,2020,B.E,B.E - CSE,Chandigarh University,Chandigarh University,,,Himachal Pradesh,General,Female,Android Development,,,,,A2it Pvt. Ltd. Mohali,Mohali,Six Weeks,Gym,Android,675,635,630,720,545,500,45,21,Wipro,3.5,3.5,On Campus
27,Yes,B.E - CSE,University Institute of Engineering (UIE),96.57,2013,Himachal Pradesh Board,85.4,85.4,Non - Medical with Biology,2015,Himachal Pradesh Board,,,,,,7.97,0,2020,B.E,B.E - CSE,Chandigarh University,Chandigarh University,,,Himachal Pradesh,General,Male,Certification In Big Data Hadoop,,,,,Itronix Solutions,Mohali,45 Days,"Election Analysis Using Big Data Hadoop, Sucide Analysis  In India Using Big Data, Ipl Match Analysis Using Big Data Hadoop ",Hadoop,570,695,435,540,505,500,20,21,IBM,4.25,4.65,On Campus
28,Yes,B.E - CSE,University Institute of Engineering (UIE),96.57,2013,Himachal Pradesh Board,85.4,85.4,Non - Medical with Biology,2015,Himachal Pradesh Board,,,,,,7.97,0,2020,B.E,B.E - CSE,Chandigarh University,Chandigarh University,,,Himachal Pradesh,General,Male,Certification In Big Data Hadoop,,,,,Itronix Solutions,Mohali,45 Days,"Election Analysis Using Big Data Hadoop, Sucide Analysis  In India Using Big Data, Ipl Match Analysis Using Big Data Hadoop ",Hadoop,570,695,435,540,505,500,20,21,Newgen Software Technologies Limited,4.25,4.25,On Campus
29,Yes,B.E - CSE,University Institute of Engineering (UIE),60.8,2014,CBSE,86.8,86.8,Non - Medical,2016,CBSE,,,,,,7.46,0,2020,B.E,B.E - CSE,Chandigarh University,Chandigarh University,,,Uttar Pradesh,General,Male,,,,,,Chandigarh University,,Six Weeks,Encryption And Decryption Using Aes Algorithm,Java,850,825,555,540,555,500,56,22,Capgemini,3.8,3.8,On Campus
30,Yes,B.E - CSE,University Institute of Engineering (UIE),60.8,2014,CBSE,86.8,86.8,Non - Medical,2016,CBSE,,,,,,7.46,0,2020,B.E,B.E - CSE,Chandigarh University,Chandigarh University,,,Uttar Pradesh,General,Male,,,,,,Chandigarh University,,Six Weeks,Encryption And Decryption Using Aes Algorithm,Java,850,825,555,540,555,500,56,22,Cognizant,3,3,On Campus
31,Yes,B.E - CSE,University Institute of Engineering (UIE),95,2014,CBSE,91,91,Non - Medical,2016,CBSE,,,,,,8.63,0,2020,B.E,B.E - CSE,Chandigarh University,Chandigarh University,,,Himachal Pradesh,General,Female,Android Development,,,,,A2it Pvt. Ltd. ,Mohali,Six Weeks,Gym,Android ,630,755,690,540,595,438,87,22,Capgemini,3.8,3.8,On Campus
32,Yes,B.E - CSE,University Institute of Engineering (UIE),95,2014,CBSE,91,91,Non - Medical,2016,CBSE,,,,,,8.63,0,2020,B.E,B.E - CSE,Chandigarh University,Chandigarh University,,,Himachal Pradesh,General,Female,Android Development,,,,,A2it Pvt. Ltd. ,Mohali,Six Weeks,Gym,Android ,630,755,690,540,595,438,87,22,Cognizant,3,3,On Campus
33,Yes,B.E - CSE,University Institute of Engineering (UIE),95,2014,CBSE,91,91,Non - Medical,2016,CBSE,,,,,,8.63,0,2020,B.E,B.E - CSE,Chandigarh University,Chandigarh University,,,Himachal Pradesh,General,Female,Android Development,,,,,A2it Pvt. Ltd. ,Mohali,Six Weeks,Gym,Android ,630,755,690,540,595,438,87,22,Wipro,3.5,3.5,On Campus
34,Yes,B.E - CSE,University Institute of Engineering (UIE),95,2013,CBSE,89.6,89.6,Non - Medical,2015,CBSE,,,,,,8.03,0,2020,B.E,B.E - CSE,Chandigarh University,Chandigarh University,,,Haryana,OBC,Male,Na,,,,,Chandigarh University,Mohali,Six Weeks,India Tourism,Android Studio,830,900,680,720,755,623,56,22,Nokia,3,3,On Campus
35,Yes,B.E - CSE,University Institute of Engineering (UIE),93.1,2013,CBSE,86.8,86.8,Non - Medical,2015,CBSE,,,,,,7.74,0,2020,B.E,B.E - CSE,Chandigarh University,Chandigarh University,,,Haryana,General,Male,,,,,,Chandigarh University,Mohali,Six Weeks,Tourism App,Android With Android Studio,650,725,605,540,745,592,44,23,Cognizant,3,3,On Campus
36,Yes,B.E - CSE,University Institute of Engineering (UIE),93.1,2013,CBSE,86.8,86.8,Non - Medical,2015,CBSE,,,,,,7.74,0,2020,B.E,B.E - CSE,Chandigarh University,Chandigarh University,,,Haryana,General,Male,,,,,,Chandigarh University,Mohali,Six Weeks,Tourism App,Android With Android Studio,650,725,605,540,745,592,44,23,Wipro,3.5,3.5,On Campus
37,Yes,B.E - CSE,University Institute of Engineering (UIE),87.4,2014,CBSE,81.6,81.6,Non - Medical,2016,CBSE,,,,,,8.05,0,2020,B.E,B.E - CSE,Chandigarh University,Chandigarh University,,,Punjab,General,Female,Na,Na,Na,Na,Na,Tcil ,Chandigarh,Six Weeks,Aws Configurations,Networking With Vmware Server And Clients,650,635,650,540,625,592,0,22,Nokia,3,3,On Campus
38,Yes,B.E - CSE,University Institute of Engineering (UIE),76,2013,CBSE,80.2,80.2,Non - Medical,2016,CBSE,,,,,,6.38,0,2020,B.E,B.E - CSE,Chandigarh University,Chandigarh University,,,Himachal Pradesh,General,Male,Na,,,,,Chandigarh University,Gharuan,45 Days,Encryption And Decryption,Netbeans,570,505,680,540,495,592,0,22,ClearÿTAXÿ/ÿDefmacroÿSoftwareÿPvtÿLtd,5.5,6.5,On Campus
39,Yes,B.E - CSE,University Institute of Engineering (UIE),83.6,2013,CBSE,86,86,Non - Medical,2015,CBSE,,,,,,7.54,0,2020,B.E,B.E - CSE,Chandigarh University,Chandigarh University,,,Uttarakhand,General,Male,Na,,,,,Tcil-it ,"Sector-22, Chandigarh",Six Weeks,Webserver Using Iis(windows Server 2012),Networking,735,810,555,540,635,469,100,23, Hexagon Capability Center India Pvt. Ltd,5.5,5.5,On Campus
40,Yes,B.E - CSE,University Institute of Engineering (UIE),83.6,2013,CBSE,86,86,Non - Medical,2015,CBSE,,,,,,7.54,0,2020,B.E,B.E - CSE,Chandigarh University,Chandigarh University,,,Uttarakhand,General,Male,Na,,,,,Tcil-it ,"Sector-22, Chandigarh",Six Weeks,Webserver Using Iis(windows Server 2012),Networking,735,810,555,540,635,469,100,23,Capgemini,3.8,3.8,On Campus
41,Yes,B.E - CSE,University Institute of Engineering (UIE),83.6,2013,CBSE,86,86,Non - Medical,2015,CBSE,,,,,,7.54,0,2020,B.E,B.E - CSE,Chandigarh University,Chandigarh University,,,Uttarakhand,General,Male,Na,,,,,Tcil-it ,"Sector-22, Chandigarh",Six Weeks,Webserver Using Iis(windows Server 2012),Networking,735,810,555,540,635,469,100,23,Financial Software Systems,6,6,On Campus
42,Yes,B.E - CSE,University Institute of Engineering (UIE),83.6,2013,CBSE,86,86,Non - Medical,2015,CBSE,,,,,,7.54,0,2020,B.E,B.E - CSE,Chandigarh University,Chandigarh University,,,Uttarakhand,General,Male,Na,,,,,Tcil-it ,"Sector-22, Chandigarh",Six Weeks,Webserver Using Iis(windows Server 2012),Networking,735,810,555,540,635,469,100,23,IBM,4.25,4.65,On Campus
43,Yes,B.E - CSE,University Institute of Engineering (UIE),91.2,2013,CBSE,84.2,84.2,Non - Medical,2015,CBSE,,,,,,6.99,0,2020,B.E,B.E - CSE,Chandigarh University,Chandigarh University,,,Jharkhand,General,Male,,,,,,Chandigarh University,Mohali,Six Weeks,Tourism App,Andriod Studio,545,710,455,540,595,469,0,23,Capgemini,3.8,3.8,On Campus
44,Yes,B.E - CSE,University Institute of Engineering (UIE),91.2,2013,CBSE,84.2,84.2,Non - Medical,2015,CBSE,,,,,,6.99,0,2020,B.E,B.E - CSE,Chandigarh University,Chandigarh University,,,Jharkhand,General,Male,,,,,,Chandigarh University,Mohali,Six Weeks,Tourism App,Andriod Studio,545,710,455,540,595,469,0,23,Cognizant,3,3,On Campus
45,Yes,B.E - CSE,University Institute of Engineering (UIE),87.5,2013,UP Board,89.2,89.2,Non - Medical,2015,UP Board,,,,,,6.18,0,2020,B.E,B.E - CSE,Chandigarh University,Chandigarh University,,,Uttar Pradesh,General,Male,Ccna,,,,,Cetpa,Lucknow,Six Weeks,Remote Approach For Effective Task Execution And Data Accessing,Networking,490,475,555,180,485,438,35,21,Birlasoft India Ltd,3.25,3.25,On Campus
46,Yes,B.E - CSE,University Institute of Engineering (UIE),87.4,2013,CBSE,81,81,Non - Medical,2015,CBSE,,,,,,7.38,0,2020,B.E,B.E - CSE,Chandigarh University,Chandigarh University,,,Bihar,General,Male,,,,,,Cetpa,Lucknow,Six Weeks,Ccna Training,Cisco Packet Tracker,595,710,605,540,545,500,4,22,Capgemini,3.8,3.8,On Campus
47,Yes,B.E - CSE,University Institute of Engineering (UIE),87.4,2013,CBSE,81,81,Non - Medical,2015,CBSE,,,,,,7.38,0,2020,B.E,B.E - CSE,Chandigarh University,Chandigarh University,,,Bihar,General,Male,,,,,,Cetpa,Lucknow,Six Weeks,Ccna Training,Cisco Packet Tracker,595,710,605,540,545,500,4,22,Cognizant,3,3,On Campus
48,Yes,B.E - CSE,University Institute of Engineering (UIE),76,2013,CBSE,91.6,91.6,Non - Medical,2015,CBSE,,,,,,8.66,0,2020,B.E,B.E - CSE,Chandigarh University,Chandigarh University,,,Rajasthan,General,Male,,,,,,Kan Softs Solutions,Udaipur,Six Weeks,,,545,825,615,540,715,623,98,2,CommVault Systems,15.5,15.5,On Campus
49,Yes,B.E - CSE,University Institute of Engineering (UIE),76,2013,CBSE,91.6,91.6,Non - Medical,2015,CBSE,,,,,,8.66,0,2020,B.E,B.E - CSE,Chandigarh University,Chandigarh University,,,Rajasthan,General,Male,,,,,,Kan Softs Solutions,Udaipur,Six Weeks,,,545,825,615,540,715,623,98,2,Microfocus Software ,11.5,11.5,On Campus
50,Yes,B.E - CSE,University Institute of Engineering (UIE),95,2013,CBSE,88.6,88.6,Non - Medical,2015,CBSE,,,,,,8.5,0,2020,B.E,B.E - CSE,Chandigarh University,Chandigarh University,,,Haryana,General,Male,Iot,No,No,No,No,Cdac Mohali ,Mohali,Six Weeks,Lpg Leakage Detection And Automatic Booking ,"C , Energia Ide ",615,740,655,540,705,592,63,22,Nokia,3,3,On Campus
51,Yes,B.E - CSE,University Institute of Engineering (UIE),85.57,2014,Himachal Pradesh Board,82.6,82.6,Non - Medical,2016,Himachal Pradesh Board,,,,,,7.48,0,2020,B.E,B.E - CSE,Chandigarh University,Chandigarh University,,,Himachal Pradesh,General,Female,Na,Na,Na,Na,Na,A2it (mohali) ,Mohali Phase 6,45 Days,Billing Software,Java ,455,300,425,540,385,377,0,22,FinancialÿSoftware & Systems (P) Ltd. (FSS),4,4,On Campus
52,Yes,B.E - CSE,University Institute of Engineering (UIE),87.4,2013,CBSE,83.2,83.2,Non - Medical,2015,CBSE,,,,,,7.56,0,2020,B.E,B.E - CSE,Chandigarh University,Chandigarh University,,,Jammu And Kashmir,General,Female,Android Training ,,,,,A2it Institute Mohali,Mohali,Six Weeks,Online Shopping System ,Android With Java And Oracle,675,535,530,720,475,500,0,22,Cognizant,3,3,On Campus
53,Yes,B.E - CSE,University Institute of Engineering (UIE),87.4,2013,CBSE,83.2,83.2,Non - Medical,2015,CBSE,,,,,,7.56,0,2020,B.E,B.E - CSE,Chandigarh University,Chandigarh University,,,Jammu And Kashmir,General,Female,Android Training ,,,,,A2it Institute Mohali,Mohali,Six Weeks,Online Shopping System ,Android With Java And Oracle,675,535,530,720,475,500,0,22,Wipro,3.5,3.5,On Campus
54,Yes,B.E - CSE,University Institute of Engineering (UIE),85,2013,CBSE,81.2,81.2,Non - Medical,2015,CBSE,,,,,,8.29,0,2020,B.E,B.E - CSE,Chandigarh University,Chandigarh University,,,Uttarakhand,General,Male,,,,,,Ibm Core,,Six Weeks,Android App,Android Studio. / Java,675,680,530,540,575,531,49,23,Nokia,3,3,On Campus
55,Yes,B.E - CSE,University Institute of Engineering (UIE),81.7,2013,CBSE,85,85,Non - Medical,2016,CBSE,,,,,,7.78,0,2020,B.E,B.E - CSE,Chandigarh University,Chandigarh University,,,Uttar Pradesh,General,Male,Na,,,,,Think Next,Chandigarh ,45 Days,Women Helpline System ,Java,650,605,495,540,415,438,14,22,Cognizant,3,3,On Campus
56,Yes,B.E - CSE,University Institute of Engineering (UIE),74,2014,ICSE,90.5,90.5,Non - Medical,2016,Telangana Board of Education,,,,,,6.37,0,2020,B.E,B.E - CSE,Chandigarh University,Chandigarh University,,,Other,General,Male,Na,Na,Na,Na,Na,Na,Na,,,,615,710,595,720,465,438,0,22,Start Up Farms IT Pvt. Ltd. (SUFI),4,4,On Campus
57,Yes,B.E - CSE,University Institute of Engineering (UIE),85.5,2014,CBSE,83.6,83.6,Other,2016,CBSE,,,,,,7.54,0,2020,B.E,B.E - CSE,Chandigarh University,Chandigarh University,,,Bihar,OBC,Male,Na,Na,Na,Na,Na,"Niit , Patna",Patna,2 Month,Visualization Of Data Using Geogeoding Api,Python,710,605,665,540,625,623,25,22,Capgemini,3.8,3.8,On Campus
58,Yes,B.E - CSE,University Institute of Engineering (UIE),89.3,2014,CBSE,85.8,85.8,Non - Medical,2016,CBSE,,,,,,7.83,0,2020,B.E,B.E - CSE,Chandigarh University,Chandigarh University,,,Delhi(nct),OBC,Male,Ethical Hacking,,,,,Cetpa,New Delhi,Six Weeks,Secure Data Transfer,Redhat,640,725,595,540,485,500,56,2,Capgemini,3.8,3.8,On Campus
59,Yes,B.E - CSE,University Institute of Engineering (UIE),89.3,2014,CBSE,85.8,85.8,Non - Medical,2016,CBSE,,,,,,7.83,0,2020,B.E,B.E - CSE,Chandigarh University,Chandigarh University,,,Delhi(nct),OBC,Male,Ethical Hacking,,,,,Cetpa,New Delhi,Six Weeks,Secure Data Transfer,Redhat,640,725,595,540,485,500,56,2,IBM,4.25,4.65,On Campus
60,Yes,B.E - CSE,University Institute of Engineering (UIE),95.08,2014,Punjab School Education Board,82.4,82.4,Non - Medical,2016,Punjab School Education Board,,,,,,7.39,0,2020,B.E,B.E - CSE,Chandigarh University,Chandigarh University,,,Punjab,SC,Female,,,,,,"Cdac , Mohali",Mohali,Six Weeks,"Robo Master, Implementation Of Rsp","Android Technology, Networking",650,680,630,360,525,438,14,22,ClearÿTAXÿ/ÿDefmacroÿSoftwareÿPvtÿLtd,5.5,6.5,On Campus
61,Yes,B.E - CSE,University Institute of Engineering (UIE),75.42,2013,West Bengal Board of Secondary Education,80.2,80.2,Non - Medical with Biology,2015,West Bengal Board of Secondary Education,,,,,,6.21,1,2020,B.E,B.E - CSE,Chandigarh University,Chandigarh University,,,West Bengal,OBC,Male,,No,,,,National Institute Of Industrial Training,Kolkata,Six Weeks,Computer Networking Fundamental ,Networking/cisco Packet Tracer,455,560,495,360,505,377,0,22,Certybox,5,5,On Campus
62,Yes,B.E - CSE,University Institute of Engineering (UIE),75.42,2013,West Bengal Board of Secondary Education,80.2,80.2,Non - Medical with Biology,2015,West Bengal Board of Secondary Education,,,,,,6.21,1,2020,B.E,B.E - CSE,Chandigarh University,Chandigarh University,,,West Bengal,OBC,Male,,No,,,,National Institute Of Industrial Training,Kolkata,Six Weeks,Computer Networking Fundamental ,Networking/cisco Packet Tracer,455,560,495,360,505,377,0,22,AMAZONÿIndia (WorkÿfromÿHome),1.58,1.74,On Campus
